compressor,regime,ratio,pipeline,workload_id,f1,retrieval_recall,eur_per_query,f1_over_eur,achieved_ratio
lingua2,accuracy_bounded,2.0,P2,c1-a-005,0.5971357665323183,0.625,0.000163668,3648.4576492186516,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-005,0.6846357665323183,0.625,0.00016270200000000003,4207.912419836991,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-006,0.6174242424242424,0.625,0.00017125800000000003,3605.228616614945,2.4186046511627906
lingua2,accuracy_bounded,2.0,P2,c1-a-006,0.5817099567099567,0.625,0.00016422000000000002,3542.2601188037793,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-006,0.9212121212121213,0.625,0.000170292,5409.603041905206,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-007,0.5951933124346918,0.625,0.00016987800000000002,3503.651517175218,2.393700787401575
lingua2,accuracy_bounded,2.0,P2,c1-a-007,0.5964405964405964,0.625,0.000163806,3641.1401074478126,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-007,0.9185185185185185,0.625,0.000168774,5442.298686518768,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-008,0.5908008658008658,0.625,0.000171396,3446.993312567771,2.4263565891472867
lingua2,accuracy_bounded,2.0,P2,c1-a-008,0.5656478578892372,0.625,0.000164634,3435.790042696145,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-008,0.9103448275862069,0.625,0.00017043,5341.458825243249,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-009,0.5922077922077922,0.625,0.00016946400000000003,3494.593496009725,2.4796747967479673
lingua2,accuracy_bounded,2.0,P2,c1-a-009,0.5877284752284753,0.625,0.000162978,3606.182891117054,1.0
lingua2,accuracy_bounded,2.0,P3,c1-a-009,0.9125,0.625,0.00016836000000000002,5419.933475885007,1.0
lingua2,accuracy_bounded,2.0,P1,c1-a-010,0.6006238859180035,0.625,0.00017070600000000002,3518.4696842407616,2.18978102189781
lingua2,accuracy_bounded,2.0,P2,c1-a-010,0.5933280208635179,0.625,0.00016325400000000002,3634.3858090063204,1.0
